1 2.83 2.58 2.52 2.79
1 5.05 3.31 3.38 3.33
1 3.65 3.36 3.8 2.95
1 3.96 2.59 2.19 1.97
1 2.37 2.32 3.09 2.27
1 4.84 3.99 3.95 3.56
1 4.09 3.39 2.02 4.06
1 4.87 3.03 2.6 4.14
1 3.9 2.65 2.33 3.03
1 4.83 2.54 3.14 3.13
1 4.78 3.45 2.81 3.6
1 4.39 3.41 3.25 3.77
1 4.01 2.27 3.52 3.47
1 4.43 4.11 3.65 3.57
1 5.03 3.72 4.13 3.87
1 3.07 2.67 2.16 3.04
1 4.3 3.17 3.73 3.88
1 3.49 2.88 2.76 2.84
1 4.17 3.35 3.38 3.23
1 4.2 2.25 3.2 2.86
1 3.76 3.08 2.16 2.48
1 3.69 3.67 2.82 4.11
1 4.3 2.71 3.61 3.06
1 3.41 3.79 3.08 3.59
1 3.43 3.51 3.75 3.2
1 3.51 3.4 2.99 2.88
1 5.19 2.99 4.64 4.19
1 4.33 2.78 3.62 2.99
1 4.22 3.31 2.72 3.65
1 4.97 3.85 2.7 2.97
1 4.52 3.01 2.75 3.5
1 2.78 2.86 2.09 2.97
1 4.58 2.82 3.37 3.89
1 3.38 3.39 2.83 2.67
1 2.68 2.56 1.62 3.62
1 3.81 4.09 3.66 4.48
1 2.85 2.62 3.34 2.96
1 4.03 4.2 2.93 3.76
1 3.19 3.5 3.68 3.21
1 4.84 3.5 4.58 3.85
1 2.9 2.81 2.99 2.77
1 4.06 4.3 3.09 3.4
1 4.31 3.77 4.93 2.58
1 3.51 2.71 2.8 3
1 4.8 4.08 4.21 4.39
1 4.03 2.38 3.03 2.45
1 4.37 2.94 2.63 3.41
1 4.09 2.71 2.69 3.74
1 4.26 3.08 3.66 4.62
1 3.06 3.64 2.86 2.77
1 4.32 3.09 3.58 3.87
1 3.9 3.03 1.84 3.68
1 3.35 4.04 3.08 3.74
1 4.06 2.27 2.55 1.96
1 4.44 3.54 2.85 3.45
1 5.13 4.83 3.63 3.66
1 4.18 3.04 3.57 3.17
1 3.52 2.07 2.96 3.76
1 3.6 3.51 3.34 3.33
1 4.7 4.03 3.34 3.27
1 3.85 2.63 2.73 2.28
1 3.94 2.98 4.14 2.9
1 4.38 3.41 3.85 2.36
1 4.55 3.03 2.59 3.01
1 4.67 2 2.85 3.42
1 3.79 2 3.56 3
1 2.95 2.82 2.93 2.95
1 3.44 2.73 2.79 3.11
1 5.17 3.98 2.72 4.24
1 4.58 3.2 4.19 3.6
1 4.55 3.37 3.82 3.08
1 4.12 2.55 4.53 3.34
1 3.69 3.18 2.71 2.59
1 4.92 3.14 2.49 3.77
1 4.32 3.67 2.87 3.36
1 3.8 2.33 2.42 2.3
1 3.57 3.91 2.67 2.88
1 2.32 2.75 2.59 3.52
1 4.02 3.35 3.52 3.81
1 5.19 4.34 4.73 3.4
1 3.29 2.52 2.19 3.39
1 3.87 2.77 2.55 2.34
1 2.91 2.63 2.51 2
1 3.7 3.66 3.54 3.77
1 5.09 3.2 3.86 3.43
1 3.44 3.49 3.62 3.17
1 4.03 2.51 3.76 2.67
1 4.81 3.32 2.49 2.68
1 3.89 4.12 2.73 3.63
1 5.42 2.95 2.94 3.69
1 3.68 2.62 2.75 2.02
1 3.32 3.89 2.57 3.37
